row_id,partition_slug,partition_name,tree_label,citation_key,doi,ntips,dated,data_type,inference,inference_code,dating_method_raw,dating_code,otl_pipeline_involvement,molecular_tip_fraction,software,substitution_model,fossil_calibrations,support_metric,divergence_ci_available,posterior_n,imputation_status,notes
1,amphibians,Amphibians,"Jetz W, Pyron RA (2018)",Jetz Pyron 2018,10.1038/s41559-018-0515-5,7239,yes,supermatrix,bayesian,BI,15-gene Bayesian supermatrix + taxonomic imputation to fill species missing from sequence data.,BRC,none,0.67,BEAST; Jetz 2012 imputation method,,,posterior_probability,yes,,heavy,"[CURATED imputation] Jetz & Pyron 2018: taxonomic imputation | [CURATED otl/mol] Jetz & Pyron 2018: ~67% molecular, ~33% taxonomic placement"
2,archaea,Archaea,Parks DH et al. (2025),Parks DH et al.,10.1093/nar/gkaf1040,6968,no,phylogenomic,ml,ML,,N,none,1.00,,,,,,,none,[CURATED imputation] Phylogenomic | [CURATED otl/mol] GTDB phylogenomic
3,bacteria,Bacteria,Parks DH et al. (2025),Parks DH et al.,10.1093/nar/gkaf1040,136646,no,phylogenomic,ml,ML,,N,none,1.00,,,,,,,none,[CURATED imputation] Phylogenomic | [CURATED otl/mol] GTDB phylogenomic
4,birds,Birds,"McTavish EJ, Gerbracht JA, Holder MT, Iliff MJ, Lepage D et al. (2025)",McTavish 2025,10.1073/pnas.2409658122,10824,yes,supertree,synthesis,ST,"Chronosynth: summarizes node ages from dated input trees; 100 random taxon-addition trees per Clements taxonomy year, summarized to MCC.",SYN,full-pipeline,0.85,Open Tree synthesis algorithm; Chronosynth (Python); python-opentree; addTaxa (R),,,source_count,yes,100,heavy,"[CURATED dating_code=SYN] Synthesis tree (McTavish 2025) integrating molecular dated sub-trees + Open Tree topology | [CURATED imputation] McTavish 2025 synthesis: taxonomic placement integrated with molecular signal | [CURATED otl/mol] McTavish 2025: Open Tree synthesis software; 85% (9,239 tips) from 262 input studies, 15% (1,585 tips) placed via Clements 2021 taxonomy"
5,bivalves,Bivalves,"Pfeiffer JM, Breinholt JW, Page LM (2019)",Pfeiffer JM,10.1016/j.ympev.2019.02.016,73,no,UCE,ml,ML,,N,none,1.00,,,,,,,none,"[CORRECTED 2026-05-31] Pfeiffer et al. 2019 anchored hybrid enrichment phylogenomic ML tree, NOT time-calibrated in the source paper. Previously defaulted to PL by curation heuristic; corrected to N (undated) after S5/S7 cross-check against data_provenance.csv and the source paper. | [CURATED otl/mol] UCE phylogenomics, direct molecular"
6,bryophytes,Bryophytes,Bechteler J et al. (2023),Bechteler 2023,10.1002/ajb2.16249,533,yes,UCE,ml,ML,Phylogenomic time tree from 405 exons (228 nuclear genes); 52 of 54 bryophyte orders; 29 fossil calibrations.,BRC,none,1.00,ASTRAL; RAxML,,29,bootstrap,yes,,none,[CURATED dating_code=BRC] Bayesian relaxed-clock dating per source study | [CURATED imputation] Direct phylogenomic | [CURATED otl/mol] Direct phylogenomics
7,bryozoa,Bryozoa,Orr RJS et al. (2022),Orr 2022,10.1126/sciadv.abm7452,517,no,UCE,ml,ML,,N,none,1.00,,,,,,,none,"[CORRECTED 2026-05-31] Orr et al. 2022 17-gene phylogenomic ML tree (trimmed, rogue-taxon-pruned), NOT time-calibrated in the source paper. Previously defaulted to PL by curation heuristic; corrected to N (undated) after S5/S7 cross-check against data_provenance.csv. | [CURATED otl/mol] UCE phylogenomics, direct molecular"
8,cephalopods,Cephalopods,Basava K et al. (2024),Basava K et al.,10.1101/2024.04.29.591691,81,yes,UCE,ml,ML,,PL,none,1.00,,,,,,,none,[CURATED dating_code=PL] UCE phylogenomic ML tree; treePL dating typical | [CURATED imputation] Direct phylogenomic | [CURATED otl/mol] UCE phylogenomics
9,cnidaria,Cnidaria,"Vaga CF, Quattrini AM et al. (2025)",Vaga CF,10.1038/s41586-025-09615-6,289,yes,UCE,ml,ML,,BRC,none,1.00,,,,,,,none,[CURATED dating_code=BRC] Bayesian relaxed-clock per source study | [CURATED imputation] Direct phylogenomic | [CURATED otl/mol] Phylogenomics
10,crocodilians,Crocodilians,"Condamine FL, Rolland J, Morlon H (2019) — Assessing the causes of diversification slowdowns: temperature-dependent and diversity-dependent models receive equivalent support. Ecology Letters 22:1900-1912.",Condamine 2019,10.1111/ele.13356,25,yes,time-calibrated_chronogram,literature-compilation,?,,BRC,none,1.00,,,,,,,none,[CURATED dating_code=BRC] Bayesian relaxed-clock per source study | [CURATED imputation] Direct phylogenetic | [CURATED otl/mol] Direct phylogenetic
11,crustaceans,Crustaceans,Wolfe JM et al. (2019),Wolfe 2019,10.1098/rspb.2019.0079,95,no,UCE,bayesian,BI,410-loci anchored hybrid enrichment; 94 species / 58 families.,N,none,1.00,"Bayesian inference; ML, ASTRAL",,,posterior_probability,no,,none,"[CORRECTED 2026-05-31] Wolfe et al. 2019 anchored hybrid enrichment Bayesian tree, NOT time-calibrated in the source paper (topology + posterior support, no chronogram). Previously defaulted to PL by curation heuristic; corrected to N (undated) after S5/S7 cross-check against data_provenance.csv. | [CURATED otl/mol] UCE phylogenomics, direct molecular"
12,diatoms,Diatoms,"Nakov T, Beaulieu JM, Alverson AJ (2018) — Accelerated diversification is related to life history and locomotion in a hyperdiverse lineage of microbial eukaryotes (Diatoms, Bacillariophyta). New Phytologist 219:462-473.",Nakov 2018,10.1111/nph.15137,244,yes,chloroplast_supermatrix,penalized-likelihood,?,treePL with fossil calibrations across 244 diatom genera; one realization extracted from the published 1000-bootstrap distribution (1k.genus.trees.full.names.newick).,PL,none,1.00,IQ-TREE; treePL,,,bootstrap,yes,,none,[CURATED imputation] Direct phylogenetic | [CURATED otl/mol] Direct molecular phylogenetics
13,echinoderms,Echinoderms,"Mongiardino Koch N, Thompson JR (2022)",Mongiardino Koch N,10.7554/eLife.72460,66,yes,UCE,ml,ML,,PL,none,1.00,,,,,,,none,[CURATED dating_code=PL] Phylogenomic ML tree; treePL dating typical | [CURATED imputation] Direct phylogenomic | [CURATED otl/mol] Phylogenomics
14,ferns,Ferns,"Nitta JH, Schuettpelz E, Ramirez-Barahona S, Iwasaki W (2022)",Nitta 2022,10.3389/fpls.2022.909768,6234,yes,multi-locus,ml,ML,Automated pipeline combining plastomes + plastid regions. Continuously updated.,PL,none,1.00,RAxML; IQ-TREE; treePL,,,bootstrap,yes,,none,[CURATED dating_code=PL] Nitta 2022 PPGI-based ML supermatrix; treePL | [CURATED imputation] Direct phylogenetic | [CURATED otl/mol] Direct molecular phylogenetics
15,fish,Fish,Rabosky DL et al. (2018),Rabosky 2018,10.1038/s41586-018-0273-1,11638,yes,supermatrix,ml,ML,27-gene RAxML ML with treePL dating; 130 fossil calibrations.,PL,none,1.00,RAxML; treePL,,130,bootstrap,yes,100,partial,"[CURATED imputation] shipped 11,638-tip molecular-only backbone; parent FishTreeOfLife chronogram has 31,516 tips after TACT imputation (87.5% coverage in source study) | [CURATED otl/mol] Atlas ships 11,638-tip molecular-only subset of Rabosky 2018"
16,fungi,Fungi,Li Y et al. (2021),Li Y et al.,10.1016/j.cub.2021.01.074,1602,no,phylogenomic,ml,ML,,N,none,1.00,,,,,,,none,[CURATED imputation] Phylogenomic | [CURATED otl/mol] Genome-scale phylogenomics
17,gastropods,Gastropods,Zapata F et al. (2014),Zapata F et al.,10.1098/rspb.2014.1739,54,no,UCE,ml,ML,,N,none,1.00,,,,,,,none,"[CORRECTED 2026-05-31] Zapata et al. 2014 transcriptome-based backbone ML tree, NOT time-calibrated in the source paper. Previously defaulted to PL by curation heuristic; corrected to N (undated) after S5/S7 cross-check against data_provenance.csv. | [CURATED otl/mol] UCE phylogenomics, direct molecular"
18,insects,Insects,Chesters D et al. (2023),insectphylo v2,10.1111/1755-0998.13817,53596,no,supertree,synthesis,ST,Synthesis molecular phylogeny from GenBank data; continuously updated. v2 Feb 2026. UNDATED.,N,collection-backed,0.05 (Chesters 2017 Methods; supertree-of-supertrees aggregation),insectphylo pipeline,,,source_count,no,,heavy,[CURATED imputation] Chesters 2017 supertree aggregation | [CURATED otl/mol] Chesters 2017 supertree of supertrees; insectphylo collection hosted on tree.opentreeoflife.org
19,mammals,Mammals,"Upham NS, Esselstyn JA, Jetz W (2019)",Upham 2019,10.1371/journal.pbio.3000494,5912,yes,supermatrix,bayesian,BI,"Backbone-and-patch; NDexp (node-dated, exponential priors); also FBD published",BRC,none,0.69,MrBayes 3.2.6; RAxML 8.2.3; PartitionFinder 1.1.1,"GTR+G, nine-partition",,posterior_probability,yes,10000,partial,"[CURATED imputation] Upham 2019: 4,098/5,911 = 69% molecular, 31% taxonomic placement (91% genus-constrained type 2) | [CURATED otl/mol] Upham 2019: 69% strict type-1 molecular, 31% taxonomic placement; not OTL"
20,nematodes,Nematodes,Qing X et al. (2025) — Systematic Biology,Qing 2025,10.1093/sysbio/syae073,166,no,UCE,ml,ML,,N,none,1.00,,,,,,,none,[CURATED imputation] Direct phylogenomic | [CURATED otl/mol] Phylogenomics
21,seed_plants,Seed plants,"Smith SA, Brown JW (2018)",Smith Brown 2018,10.1002/ajb2.1019,342466,yes,supermatrix,ml,ML,"7-gene RAxML ML + treePL dating. Multi-stage build: ~80k species with sequence data, extended to ~356k via taxonomic placement.",PL,taxonomy-backed-grafting,0.22,RAxML; treePL,,,bootstrap,no,,heavy,[CURATED imputation] Smith & Brown 2018: ~78% taxonomy-grafted; molecular-tip fraction ~22% | [CURATED otl/mol] Smith & Brown 2018: ~22% direct GenBank sequence data; remainder grafted via Open Tree of Life taxonomy against molecularly-resolved backbone
